"Date","Price","Open","High","Low","Change %"
"Oct 04, 2019","1.0978","1.0964","1.0999","1.0957","0.11%"
"Oct 03, 2019","1.0966","1.0959","1.1001","1.0941","0.06%"
"Oct 02, 2019","1.0959","1.0932","1.0964","1.0903","0.25%"
"Oct 01, 2019","1.0932","1.0901","1.0944","1.0879","0.29%"
"Sep 30, 2019","1.0900","1.0940","1.0949","1.0885","-0.36%"
"Sep 27, 2019","1.0939","1.0920","1.0959","1.0904","0.16%"
"Sep 26, 2019","1.0922","1.0942","1.0968","1.0908","-0.19%"
"Sep 25, 2019","1.0943","1.1020","1.1025","1.0938","-0.70%"
"Sep 24, 2019","1.1020","1.0994","1.1026","1.0984","0.25%"
"Sep 23, 2019","1.0993","1.1016","1.1027","1.0966","-0.23%"
"Sep 20, 2019","1.1018","1.1041","1.1069","1.0995","-0.21%"
"Sep 19, 2019","1.1041","1.1029","1.1074","1.1022","0.10%"
"Sep 18, 2019","1.1030","1.1072","1.1076","1.1013","-0.39%"
"Sep 17, 2019","1.1073","1.1000","1.1076","1.0990","0.65%"
"Sep 16, 2019","1.1002","1.1087","1.1093","1.0994","-0.66%"
"Sep 13, 2019","1.1075","1.1064","1.1111","1.1055","0.11%"
"Sep 12, 2019","1.1063","1.1011","1.1088","1.0927","0.48%"
"Sep 11, 2019","1.1010","1.1043","1.1056","1.0984","-0.30%"
"Sep 10, 2019","1.1043","1.1045","1.1059","1.1030","-0.05%"
"Sep 09, 2019","1.1048","1.1024","1.1069","1.1016","0.17%"
"Sep 06, 2019","1.1029","1.1035","1.1058","1.1020","-0.05%"
"Sep 05, 2019","1.1035","1.1037","1.1086","1.1017","0.00%"
